scene,lodGroupPath,lodCount,lodSizes,rendererCount,totalTriangles,fadeMode,animateCrossFading
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (12)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (4)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (6)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_4-5",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (11)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (19)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (9)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_0-5",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (25)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (2)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (31)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (9)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (27)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (3)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (35)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (14)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (12)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (6)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (3)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (14)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (24)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (16)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (4)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (15)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_3-3",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (1)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (13)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (6)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_1-6",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (7)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (5)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (13)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (17)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (10)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (8)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (1)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (29)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (22)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (13)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (4)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (19)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (22)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (10)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_5-5",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_6-6",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_4-6",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (28)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (6)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (20)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (15)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (11)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (2)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (3)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (12)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (5)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (7)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (23)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (6)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (18)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (17)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (32)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (3)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (16)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (26)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (20)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (21)",3,"0.304432|0.1478559|0.03192009",3,102,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (18)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (19)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (14)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (8)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (13)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (3)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (18)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
